seed,policy,round,observed,stable_found,precision,pool_stable_prevalence,discovery_acceleration_factor,stable_recall
67,random,6,1900,1107,0.5826315789473684,0.57024,1.0217304625199362,0.07765151515151515
67,random,7,2150,1248,0.5804651162790697,0.57024,1.01793125048939,0.08754208754208755
67,random,8,2400,1398,0.5825,0.57024,1.0214997194163862,0.09806397306397306
67,uncertainty,0,400,246,0.615,0.57024,1.078493265993266,0.017255892255892257
67,uncertainty,1,650,368,0.5661538461538461,0.57024,0.9928343261676595,0.025813692480359147
67,uncertainty,2,900,471,0.5233333333333333,0.57024,0.9177422371866817,0.03303872053872054
67,uncertainty,3,1150,598,0.52,0.57024,0.9118967452300787,0.04194725028058362
67,uncertainty,4,1400,745,0.5321428571428571,0.57024,0.933191037357704,0.05225869809203142
67,uncertainty,5,1650,883,0.5351515151515152,0.57024,0.938467163214638,0.06193883277216611
67,uncertainty,6,1900,1016,0.5347368421052632,0.57024,0.9377399728276922,0.0712682379349046
67,uncertainty,7,2150,1155,0.5372093023255814,0.57024,0.9420757967269595,0.08101851851851852
67,uncertainty,8,2400,1283,0.5345833333333333,0.57024,0.9374707725402169,0.08999719416386083
67,greedy,0,400,246,0.615,0.57024,1.078493265993266,0.017255892255892257
67,greedy,1,650,437,0.6723076923076923,0.57024,1.1789907623240956,0.030653759820426486
67,greedy,2,900,641,0.7122222222222222,0.57024,1.2489867813941888,0.04496352413019079
67,greedy,3,1150,858,0.7460869565217392,0.57024,1.308373590982287,0.06018518518518518
67,greedy,4,1400,1082,0.7728571428571429,0.57024,1.355319063652397,0.07589786756453423
67,greedy,5,1650,1304,0.7903030303030303,0.57024,1.3859130020746182,0.0914702581369248
67,greedy,6,1900,1522,0.8010526315789473,0.57024,1.4047640144131373,0.10676206509539843
67,greedy,7,2150,1742,0.8102325581395349,0.57024,1.4208623704747736,0.12219416386083053
67,greedy,8,2400,1967,0.8195833333333333,0.57024,1.4372603348297794,0.1379769921436588
67,ucb,0,400,246,0.615,0.57024,1.078493265993266,0.017255892255892257
67,ucb,1,650,427,0.6569230769230769,0.57024,1.1520115686782355,0.029952300785634118
67,ucb,2,900,630,0.7,0.57024,1.227553310886644,0.04419191919191919
67,ucb,3,1150,837,0.7278260869565217,0.57024,1.2763504611330698,0.058712121212121215
67,ucb,4,1400,1068,0.7628571428571429,0.57024,1.337782587782588,0.07491582491582492
67,ucb,5,1650,1282,0.776969696969697,0.57024,1.362531034248206,0.08992704826038159
67,ucb,6,1900,1500,0.7894736842105263,0.57024,1.3844586213007266,0.10521885521885523
67,ucb,7,2150,1720,0.8,0.57024,1.4029180695847363,0.12065095398428732
67,ucb,8,2400,1938,0.8075,0.57024,1.4160704264870931,0.13594276094276095
67,diverse_ucb,0,400,246,0.615,0.57024,1.078493265993266,0.017255892255892257
67,diverse_ucb,1,650,433,0.6661538461538462,0.57024,1.1681990848657517,0.03037317620650954
67,diverse_ucb,2,900,632,0.7022222222222222,0.57024,1.2314503055243795,0.044332210998877665
67,diverse_ucb,3,1150,855,0.7434782608695653,0.57024,1.3037988581466844,0.05997474747474747
67,diverse_ucb,4,1400,1082,0.7728571428571429,0.57024,1.355319063652397,0.07589786756453423
67,diverse_ucb,5,1650,1298,0.7866666666666666,0.57024,1.379536101758324,0.09104938271604938
67,diverse_ucb,6,1900,1521,0.8005263157894736,0.57024,1.4038410419989367,0.10669191919191919
67,diverse_ucb,7,2150,1729,0.804186046511628,0.57024,1.4102589199488427,0.12128226711560045
67,diverse_ucb,8,2400,1949,0.8120833333333334,0.57024,1.4241079779274226,0.13671436588103256
